Date,Restaurant_Food,Actual_Units_Sold,Predicted_Units_Sold
2023-06-12,R3_Kheer (small bowl),48,64.96634
2023-06-13,R3_Kheer (small bowl),69,62.326176
2023-06-14,R3_Kheer (small bowl),60,61.63665
2023-06-15,R3_Kheer (small bowl),55,61.62335
2023-06-16,R3_Kheer (small bowl),71,80.66383
2023-06-17,R3_Kheer (small bowl),81,92.16987
2023-06-18,R3_Kheer (small bowl),68,70.6529
2023-06-19,R3_Kheer (small bowl),48,66.5334
2023-06-20,R3_Kheer (small bowl),65,61.565323
2023-06-21,R3_Kheer (small bowl),51,66.43516
2023-06-22,R3_Kheer (small bowl),81,71.45057
2023-06-23,R3_Kheer (small bowl),70,77.070656
2023-06-24,R3_Kheer (small bowl),81,78.52751
2023-06-25,R3_Kheer (small bowl),86,83.06433
2023-06-26,R3_Kheer (small bowl),73,73.22551
2023-06-27,R3_Kheer (small bowl),84,84.08225
2023-06-28,R3_Kheer (small bowl),58,79.36568
2023-06-29,R3_Kheer (small bowl),66,74.68641
2023-06-30,R3_Kheer (small bowl),59,84.56017
2023-07-01,R3_Kheer (small bowl),59,66.16891
2023-07-02,R3_Kheer (small bowl),54,82.56101
2023-07-03,R3_Kheer (small bowl),50,65.66993
2023-07-04,R3_Kheer (small bowl),44,58.791317
2023-07-05,R3_Kheer (small bowl),48,60.55048
2023-07-06,R3_Kheer (small bowl),54,68.90991
2023-07-07,R3_Kheer (small bowl),63,69.270805
2023-07-08,R3_Kheer (small bowl),59,80.29834
2023-07-09,R3_Kheer (small bowl),60,65.34639
2023-07-10,R3_Kheer (small bowl),61,69.878784
2023-07-11,R3_Kheer (small bowl),46,61.108334
2023-07-12,R3_Kheer (small bowl),44,54.997917
2023-07-13,R3_Kheer (small bowl),46,61.05616
2023-07-14,R3_Kheer (small bowl),40,64.41991
2023-07-15,R3_Kheer (small bowl),46,70.38855
2023-07-16,R3_Kheer (small bowl),63,71.207695
2023-07-17,R3_Kheer (small bowl),60,62.039497
2023-07-18,R3_Kheer (small bowl),43,62.302376
2023-07-19,R3_Kheer (small bowl),50,59.166553
2023-07-20,R3_Kheer (small bowl),54,61.955
2023-07-21,R3_Kheer (small bowl),54,58.47648
2023-07-22,R3_Kheer (small bowl),62,80.962135
2023-07-23,R3_Kheer (small bowl),56,67.843155
2023-07-24,R3_Kheer (small bowl),51,59.58251
2023-07-25,R3_Kheer (small bowl),56,58.214424
2023-07-26,R3_Kheer (small bowl),54,62.843845
2023-07-27,R3_Kheer (small bowl),38,61.935623
2023-07-28,R3_Kheer (small bowl),40,58.52675
2023-07-29,R3_Kheer (small bowl),71,70.39116
2023-07-30,R3_Kheer (small bowl),41,68.94322
2023-07-31,R3_Kheer (small bowl),43,58.1035
2023-08-01,R3_Kheer (small bowl),51,54.734585
2023-08-02,R3_Kheer (small bowl),50,57.483006
2023-08-03,R3_Kheer (small bowl),76,89.794304
2023-08-04,R3_Kheer (small bowl),44,72.975815
2023-08-05,R3_Kheer (small bowl),122,97.34244
2023-08-06,R3_Kheer (small bowl),64,79.21812
2023-08-07,R3_Kheer (small bowl),47,72.63891
2023-08-08,R3_Kheer (small bowl),52,70.35434
2023-08-09,R3_Kheer (small bowl),51,72.66458
2023-08-10,R3_Kheer (small bowl),54,70.45154
2023-08-11,R3_Kheer (small bowl),49,68.960304
2023-08-12,R3_Kheer (small bowl),62,62.651897
2023-08-13,R3_Kheer (small bowl),56,63.72351
2023-08-14,R3_Kheer (small bowl),53,69.44729
2023-08-15,R3_Kheer (small bowl),45,60.26833
2023-08-16,R3_Kheer (small bowl),61,67.0689
2023-08-17,R3_Kheer (small bowl),53,62.48006
2023-08-18,R3_Kheer (small bowl),61,79.90897
2023-08-19,R3_Kheer (small bowl),47,63.677177
2023-08-20,R3_Kheer (small bowl),58,67.12717
2023-08-21,R3_Kheer (small bowl),57,61.098423
2023-08-22,R3_Kheer (small bowl),52,59.812687
2023-08-23,R3_Kheer (small bowl),38,60.48017
2023-08-24,R3_Kheer (small bowl),53,55.07354
2023-08-25,R3_Kheer (small bowl),58,59.942272
2023-08-26,R3_Kheer (small bowl),60,65.55611
2023-08-27,R3_Kheer (small bowl),40,65.90493
2023-08-28,R3_Kheer (small bowl),57,55.21758
2023-08-29,R3_Kheer (small bowl),44,58.570618
2023-08-30,R3_Kheer (small bowl),44,58.690624
2023-08-31,R3_Kheer (small bowl),45,57.920086
2023-09-01,R3_Kheer (small bowl),45,51.31195
2023-09-02,R3_Kheer (small bowl),43,59.30572
2023-09-03,R3_Kheer (small bowl),62,59.974052
2023-09-04,R3_Kheer (small bowl),38,52.649384
2023-09-05,R3_Kheer (small bowl),53,52.357372
2023-09-06,R3_Kheer (small bowl),44,56.890884
2023-09-07,R3_Kheer (small bowl),55,55.469006
2023-09-08,R3_Kheer (small bowl),54,55.85196
2023-09-09,R3_Kheer (small bowl),64,64.90775
2023-09-10,R3_Kheer (small bowl),64,82.24341
2023-09-11,R3_Kheer (small bowl),60,62.25599
2023-09-12,R3_Kheer (small bowl),40,62.45982
2023-09-13,R3_Kheer (small bowl),39,54.43098
2023-09-14,R3_Kheer (small bowl),46,59.809032
2023-09-15,R3_Kheer (small bowl),40,56.04758
2023-09-16,R3_Kheer (small bowl),88,86.902405
2023-09-17,R3_Kheer (small bowl),59,66.94724
2023-09-18,R3_Kheer (small bowl),56,71.60248
2023-09-19,R3_Kheer (small bowl),41,59.47423
2023-09-20,R3_Kheer (small bowl),46,61.03924
2023-09-21,R3_Kheer (small bowl),57,68.66421
2023-09-22,R3_Kheer (small bowl),44,65.97504
2023-09-23,R3_Kheer (small bowl),71,73.68216
2023-09-24,R3_Kheer (small bowl),67,68.16589
2023-09-25,R3_Kheer (small bowl),41,60.44712
2023-09-26,R3_Kheer (small bowl),43,59.914307
2023-09-27,R3_Kheer (small bowl),42,56.341885
2023-09-28,R3_Kheer (small bowl),53,56.212147
2023-09-29,R3_Kheer (small bowl),57,66.974174
2023-09-30,R3_Kheer (small bowl),58,62.918472
2023-10-01,R3_Kheer (small bowl),56,74.14116
2023-10-02,R3_Kheer (small bowl),49,55.72443
2023-10-03,R3_Kheer (small bowl),58,62.367855
2023-10-04,R3_Kheer (small bowl),58,66.70634
2023-10-05,R3_Kheer (small bowl),54,61.60438
2023-10-06,R3_Kheer (small bowl),53,69.89443
2023-10-07,R3_Kheer (small bowl),88,94.20302
2023-10-08,R3_Kheer (small bowl),43,62.15723
2023-10-09,R3_Kheer (small bowl),58,66.4851
2023-10-10,R3_Kheer (small bowl),43,60.003048
2023-10-11,R3_Kheer (small bowl),59,64.00019
2023-10-12,R3_Kheer (small bowl),48,62.365494
2023-10-13,R3_Kheer (small bowl),47,59.438606
2023-10-14,R3_Kheer (small bowl),64,60.714825
2023-10-15,R3_Kheer (small bowl),77,89.26223
2023-10-16,R3_Kheer (small bowl),48,61.178753
2023-10-17,R3_Kheer (small bowl),41,57.42189
2023-10-18,R3_Kheer (small bowl),51,58.800392
2023-10-19,R3_Kheer (small bowl),53,59.971016
2023-10-20,R3_Kheer (small bowl),49,59.282684
2023-10-21,R3_Kheer (small bowl),52,76.83707
2023-10-22,R3_Kheer (small bowl),51,62.82511
2023-10-23,R3_Kheer (small bowl),49,54.642853
2023-10-24,R3_Kheer (small bowl),46,54.763546
2023-10-25,R3_Kheer (small bowl),51,57.226566
2023-10-26,R3_Kheer (small bowl),43,58.398685
2023-10-27,R3_Kheer (small bowl),51,54.035927
2023-10-28,R3_Kheer (small bowl),46,58.9865
2023-10-29,R3_Kheer (small bowl),76,80.45534
2023-10-30,R3_Kheer (small bowl),62,69.878685
2023-10-31,R3_Kheer (small bowl),60,58.07747
2023-11-01,R3_Kheer (small bowl),40,58.22979
2023-11-02,R3_Kheer (small bowl),48,65.89662
2023-11-03,R3_Kheer (small bowl),50,58.621918
2023-11-04,R3_Kheer (small bowl),63,65.38938
2023-11-05,R3_Kheer (small bowl),78,94.404686
2023-11-06,R3_Kheer (small bowl),57,67.2474
2023-11-07,R3_Kheer (small bowl),38,54.909885
2023-11-08,R3_Kheer (small bowl),48,59.76586
2023-11-09,R3_Kheer (small bowl),47,56.2817
2023-11-10,R3_Kheer (small bowl),37,56.08974
2023-11-11,R3_Kheer (small bowl),55,57.370926
2023-11-12,R3_Kheer (small bowl),57,57.63713
2023-11-13,R3_Kheer (small bowl),49,48.69876
2023-11-14,R3_Kheer (small bowl),45,53.65922
2023-11-15,R3_Kheer (small bowl),43,52.623787
2023-11-16,R3_Kheer (small bowl),41,50.784367
2023-11-17,R3_Kheer (small bowl),56,53.45017
2023-11-18,R3_Kheer (small bowl),48,63.747086
2023-11-19,R3_Kheer (small bowl),52,59.049816
2023-11-20,R3_Kheer (small bowl),53,57.671394
2023-11-21,R3_Kheer (small bowl),71,59.415085
2023-11-22,R3_Kheer (small bowl),44,53.834576
2023-11-23,R3_Kheer (small bowl),35,57.14288
2023-11-24,R3_Kheer (small bowl),82,78.9043
2023-11-25,R3_Kheer (small bowl),55,76.77442
2023-11-26,R3_Kheer (small bowl),54,61.678757
2023-11-27,R3_Kheer (small bowl),45,55.615757
2023-11-28,R3_Kheer (small bowl),40,54.693295
2023-11-29,R3_Kheer (small bowl),75,71.43068
2023-11-30,R3_Kheer (small bowl),45,62.330727
2023-12-01,R3_Kheer (small bowl),62,56.51132
2023-12-02,R3_Kheer (small bowl),71,80.858635
2023-12-03,R3_Kheer (small bowl),57,73.42104
2023-12-04,R3_Kheer (small bowl),42,62.784306
2023-12-05,R3_Kheer (small bowl),48,63.02955
2023-12-06,R3_Kheer (small bowl),64,69.9354
2023-12-07,R3_Kheer (small bowl),67,77.51135
2023-12-08,R3_Kheer (small bowl),60,67.01792
2023-12-09,R3_Kheer (small bowl),62,71.48191
2023-12-10,R3_Kheer (small bowl),91,86.59739
2023-12-11,R3_Kheer (small bowl),68,76.945496
2023-12-12,R3_Kheer (small bowl),65,72.40346
2023-12-13,R3_Kheer (small bowl),77,99.12744
2023-12-14,R3_Kheer (small bowl),55,73.27617
2023-12-15,R3_Kheer (small bowl),69,63.570347
2023-12-16,R3_Kheer (small bowl),53,80.3252
2023-12-17,R3_Kheer (small bowl),67,69.33601
2023-12-18,R3_Kheer (small bowl),53,69.12493
2023-12-19,R3_Kheer (small bowl),54,65.3481
2023-12-20,R3_Kheer (small bowl),64,64.36154
2023-12-21,R3_Kheer (small bowl),50,67.37912
2023-12-22,R3_Kheer (small bowl),52,57.417942
2023-12-23,R3_Kheer (small bowl),71,65.368965
2023-12-24,R3_Kheer (small bowl),79,75.089066
2023-12-25,R3_Kheer (small bowl),76,64.189384
2023-12-26,R3_Kheer (small bowl),89,93.252945
2023-12-27,R3_Kheer (small bowl),76,69.23607
2023-12-28,R3_Kheer (small bowl),66,75.73283
2023-12-29,R3_Kheer (small bowl),87,88.51296
2023-12-30,R3_Kheer (small bowl),71,90.94707
2023-12-31,R3_Kheer (small bowl),85,99.95659
2023-01-01,R3_Korma (veg/chicken),49,70.17255
2023-01-02,R3_Korma (veg/chicken),38,61.93028
2023-01-03,R3_Korma (veg/chicken),36,50.786686
2023-01-04,R3_Korma (veg/chicken),49,48.97307
2023-01-05,R3_Korma (veg/chicken),41,52.459118
2023-01-06,R3_Korma (veg/chicken),45,45.85933
2023-01-07,R3_Korma (veg/chicken),47,51.662384
2023-01-08,R3_Korma (veg/chicken),46,50.72146
2023-01-09,R3_Korma (veg/chicken),48,52.52776
2023-01-10,R3_Korma (veg/chicken),43,45.17703
2023-01-11,R3_Korma (veg/chicken),49,44.250004
2023-01-12,R3_Korma (veg/chicken),45,44.355484
2023-01-13,R3_Korma (veg/chicken),41,44.507687
2023-01-14,R3_Korma (veg/chicken),54,44.69496
2023-01-15,R3_Korma (veg/chicken),61,61.718742
2023-01-16,R3_Korma (veg/chicken),58,63.880836
2023-01-17,R3_Korma (veg/chicken),40,51.39373
2023-01-18,R3_Korma (veg/chicken),53,47.107334
2023-01-19,R3_Korma (veg/chicken),39,51.348297
2023-01-20,R3_Korma (veg/chicken),36,46.466663
2023-01-21,R3_Korma (veg/chicken),52,52.913345
2023-01-22,R3_Korma (veg/chicken),48,55.036854
2023-01-23,R3_Korma (veg/chicken),41,45.46077
2023-01-24,R3_Korma (veg/chicken),33,42.988956
2023-01-25,R3_Korma (veg/chicken),45,42.14195
2023-01-26,R3_Korma (veg/chicken),42,41.381744
2023-01-27,R3_Korma (veg/chicken),45,48.270664
2023-01-28,R3_Korma (veg/chicken),45,48.74272
2023-01-29,R3_Korma (veg/chicken),47,48.041325
2023-01-30,R3_Korma (veg/chicken),36,41.640633
2023-01-31,R3_Korma (veg/chicken),42,40.580044
2023-02-01,R3_Korma (veg/chicken),58,50.39621
2023-02-02,R3_Korma (veg/chicken),60,54.347145
2023-02-03,R3_Korma (veg/chicken),41,49.19295
2023-02-04,R3_Korma (veg/chicken),41,52.02397
2023-02-05,R3_Korma (veg/chicken),49,52.020382
2023-02-06,R3_Korma (veg/chicken),46,46.727085
2023-02-07,R3_Korma (veg/chicken),49,54.512966
2023-02-08,R3_Korma (veg/chicken),58,48.964752
2023-02-09,R3_Korma (veg/chicken),36,50.56423
2023-02-10,R3_Korma (veg/chicken),42,44.852535
2023-02-11,R3_Korma (veg/chicken),44,51.491657
2023-02-12,R3_Korma (veg/chicken),35,52.816116
2023-02-13,R3_Korma (veg/chicken),48,43.972027
2023-02-14,R3_Korma (veg/chicken),49,44.049046
2023-02-15,R3_Korma (veg/chicken),41,44.65664
2023-02-16,R3_Korma (veg/chicken),32,42.203434
2023-02-17,R3_Korma (veg/chicken),56,44.371227
2023-02-18,R3_Korma (veg/chicken),59,63.21771
2023-02-19,R3_Korma (veg/chicken),50,53.464073
2023-02-20,R3_Korma (veg/chicken),54,48.363163
2023-02-21,R3_Korma (veg/chicken),55,51.079777
2023-02-22,R3_Korma (veg/chicken),46,53.381813
2023-02-23,R3_Korma (veg/chicken),49,60.09633
2023-02-24,R3_Korma (veg/chicken),51,52.693275
2023-02-25,R3_Korma (veg/chicken),57,60.79978
2023-02-26,R3_Korma (veg/chicken),47,61.469364
2023-02-27,R3_Korma (veg/chicken),76,74.264595
2023-02-28,R3_Korma (veg/chicken),55,55.898582
2023-03-01,R3_Korma (veg/chicken),46,52.35284
2023-03-02,R3_Korma (veg/chicken),36,50.994675
2023-03-03,R3_Korma (veg/chicken),56,47.89393
2023-03-04,R3_Korma (veg/chicken),57,59.8433
2023-03-05,R3_Korma (veg/chicken),64,59.195374
2023-03-06,R3_Korma (veg/chicken),36,52.89202
2023-03-07,R3_Korma (veg/chicken),43,45.635628
2023-03-08,R3_Korma (veg/chicken),45,45.0282
2023-03-09,R3_Korma (veg/chicken),55,45.241436
2023-03-10,R3_Korma (veg/chicken),55,58.358315
2023-03-11,R3_Korma (veg/chicken),47,57.415516
2023-03-12,R3_Korma (veg/chicken),49,53.79354
2023-03-13,R3_Korma (veg/chicken),50,45.13908
2023-03-14,R3_Korma (veg/chicken),53,46.451107
2023-03-15,R3_Korma (veg/chicken),44,49.88134
2023-03-16,R3_Korma (veg/chicken),51,48.332413
2023-03-17,R3_Korma (veg/chicken),37,47.868435
2023-03-18,R3_Korma (veg/chicken),68,58.26092
2023-03-19,R3_Korma (veg/chicken),50,57.600758
2023-03-20,R3_Korma (veg/chicken),49,56.823616
2023-03-21,R3_Korma (veg/chicken),68,52.739822
2023-03-22,R3_Korma (veg/chicken),50,56.184105
2023-03-23,R3_Korma (veg/chicken),56,55.39614
2023-03-24,R3_Korma (veg/chicken),51,56.79117
2023-03-25,R3_Korma (veg/chicken),82,78.79725
2023-03-26,R3_Korma (veg/chicken),58,64.88055
2023-03-27,R3_Korma (veg/chicken),48,59.904907
2023-03-28,R3_Korma (veg/chicken),54,67.33216
2023-03-29,R3_Korma (veg/chicken),46,58.368805
2023-03-30,R3_Korma (veg/chicken),47,52.291885
2023-03-31,R3_Korma (veg/chicken),46,51.414253
2023-04-01,R3_Korma (veg/chicken),64,56.606342
2023-04-02,R3_Korma (veg/chicken),57,57.683693
2023-04-03,R3_Korma (veg/chicken),48,50.412098
2023-04-04,R3_Korma (veg/chicken),59,57.105885
2023-04-05,R3_Korma (veg/chicken),47,51.377155
2023-04-06,R3_Korma (veg/chicken),46,49.909584
2023-04-07,R3_Korma (veg/chicken),59,50.20114
2023-04-08,R3_Korma (veg/chicken),45,60.009678
2023-04-09,R3_Korma (veg/chicken),54,55.694107
2023-04-10,R3_Korma (veg/chicken),43,50.364033
2023-04-11,R3_Korma (veg/chicken),41,48.692898
2023-04-12,R3_Korma (veg/chicken),39,45.160927
2023-04-13,R3_Korma (veg/chicken),45,44.533127
2023-04-14,R3_Korma (veg/chicken),51,44.53666
2023-04-15,R3_Korma (veg/chicken),54,49.505127
2023-04-16,R3_Korma (veg/chicken),54,60.759003
2023-04-17,R3_Korma (veg/chicken),48,52.97612
2023-04-18,R3_Korma (veg/chicken),52,45.681423
2023-04-19,R3_Korma (veg/chicken),47,47.735107
2023-04-20,R3_Korma (veg/chicken),56,57.406246
2023-04-21,R3_Korma (veg/chicken),54,62.715874
2023-04-22,R3_Korma (veg/chicken),44,62.094604
2023-04-23,R3_Korma (veg/chicken),58,58.97534
2023-04-24,R3_Korma (veg/chicken),58,53.33078
2023-04-25,R3_Korma (veg/chicken),59,66.86515
2023-04-26,R3_Korma (veg/chicken),54,56.03306
2023-04-27,R3_Korma (veg/chicken),56,55.836254
2023-04-28,R3_Korma (veg/chicken),41,53.327168
2023-04-29,R3_Korma (veg/chicken),51,56.357197
2023-04-30,R3_Korma (veg/chicken),59,76.44436
2023-05-01,R3_Korma (veg/chicken),46,52.974472
2023-05-02,R3_Korma (veg/chicken),33,49.689026
2023-05-03,R3_Korma (veg/chicken),50,45.3262
2023-05-04,R3_Korma (veg/chicken),60,52.511574
2023-05-05,R3_Korma (veg/chicken),55,55.08406
2023-05-06,R3_Korma (veg/chicken),60,69.76028
2023-05-07,R3_Korma (veg/chicken),59,58.109673
2023-05-08,R3_Korma (veg/chicken),45,50.35233
2023-05-09,R3_Korma (veg/chicken),48,48.79174
2023-05-10,R3_Korma (veg/chicken),50,51.390797
2023-05-11,R3_Korma (veg/chicken),38,51.673393
2023-05-12,R3_Korma (veg/chicken),46,47.897747
2023-05-13,R3_Korma (veg/chicken),54,53.326153
2023-05-14,R3_Korma (veg/chicken),61,63.78716
2023-05-15,R3_Korma (veg/chicken),48,47.586754
2023-05-16,R3_Korma (veg/chicken),43,47.049526
2023-05-17,R3_Korma (veg/chicken),51,46.192833
2023-05-18,R3_Korma (veg/chicken),45,47.04401
2023-05-19,R3_Korma (veg/chicken),49,54.75349
2023-05-20,R3_Korma (veg/chicken),54,65.67366
2023-05-21,R3_Korma (veg/chicken),56,55.821304
2023-05-22,R3_Korma (veg/chicken),54,56.214695
2023-05-23,R3_Korma (veg/chicken),51,74.54565
2023-05-24,R3_Korma (veg/chicken),53,52.280197
2023-05-25,R3_Korma (veg/chicken),55,53.062733
